"filename", "language", "C++", "Rust", "JSON", "Markdown", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\binary_tree.cpp", "C++", 130, 0, 0, 0, 0, 0, 0, 0, 3, 133
"e:\ww\ccccppppppppppp\f\README.md", "Markdown", 0, 0, 0, -38, 0, 0, 0, 0, -33, -71
"e:\ww\ccccppppppppppp\f\package-lock.json", "JSON", 0, 0, -27679, 0, 0, 0, 0, 0, -1, -27680
"e:\ww\ccccppppppppppp\f\package.json", "JSON", 0, 0, -40, 0, 0, 0, 0, 0, -1, -41
"e:\ww\ccccppppppppppp\f\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, -20, -23, -1, -44
"e:\ww\ccccppppppppppp\f\public\manifest.json", "JSON", 0, 0, -25, 0, 0, 0, 0, 0, -1, -26
"e:\ww\ccccppppppppppp\f\src\App.js", "JavaScript", 0, 0, 0, 0, -32, 0, 0, -18, -4, -54
"e:\ww\ccccppppppppppp\f\src\hook.js", "JavaScript", 0, 0, 0, 0, -95, 0, 0, -11, -15, -121
"e:\ww\ccccppppppppppp\f\src\index.css", "CSS", 0, 0, 0, 0, 0, -12, 0, 0, -2, -14
"e:\ww\ccccppppppppppp\f\src\index.js", "JavaScript", 0, 0, 0, 0, -10, 0, 0, 0, -5, -15
"e:\ww\ccccppppppppppp\f\src\reducer.js", "JavaScript", 0, 0, 0, 0, -20, 0, 0, -1, -3, -24
"e:\ww\ccccppppppppppp\fire_anna\README.md", "Markdown", 0, 0, 0, -2, 0, 0, 0, 0, -1, -3
"e:\ww\ccccppppppppppp\gcd.cpp", "C++", 93, 0, 0, 0, 0, 0, 0, 8, 6, 107
"e:\ww\ccccppppppppppp\greedy.cpp", "C++", 228, 0, 0, 0, 0, 0, 0, 8, 9, 245
"e:\ww\ccccppppppppppp\list.cpp", "C++", 13, 0, 0, 0, 0, 0, 0, 1, 0, 14
"e:\ww\ccccppppppppppp\radix_sort.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 1, -1, 210
"e:\ww\ccccppppppppppp\recu.cpp", "C++", 241, 0, 0, 0, 0, 0, 0, 3, 6, 250
"e:\ww\ccccppppppppppp\rust\mystack\src\main.rs", "Rust", 0, 262, 0, 0, 0, 0, 0, 8, 15, 285
"e:\ww\ccccppppppppppp\rust\mystack\target\.rustc_info.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\ww\ccccppppppppppp\rust\mystack\target\debug\.fingerprint\mystack-35542c1baf6f5b95\bin-mystack.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\ww\ccccppppppppppp\rust\mystack\target\debug\.fingerprint\mystack-459807942da6641d\bin-mystack.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\ww\ccccppppppppppp\rust\mystack\target\debug\.fingerprint\mystack-97f5a12640f1853e\test-bin-mystack.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\ww\ccccppppppppppp\rust\mystack\target\debug\.fingerprint\mystack-ffed88e9ea78de1d\test-bin-mystack.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\ww\ccccppppppppppp\stack.cpp", "C++", 234, 0, 0, 0, 0, 0, 0, 0, 0, 234
"e:\ww\ccccppppppppppp\stringcomp.cpp", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"Total", "-", 1181, 262, -27739, -40, -157, -12, -20, -24, -28, -26577
