"filename", "language", "Java", "C++", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\01-bag.cpp", "C++", 0, -207, -10, -11, -228
"e:\ww\ccccppppppppppp\Queue.cpp", "C++", 0, -156, 0, -4, -160
"e:\ww\ccccppppppppppp\binary_search.cpp", "C++", 0, -497, -16, -20, -533
"e:\ww\ccccppppppppppp\binary_tree.cpp", "C++", 0, -738, -97, -45, -880
"e:\ww\ccccppppppppppp\c_strcopy.cpp", "C++", 0, -110, -4, -12, -126
"e:\ww\ccccppppppppppp\cpp\01-bag.cpp", "C++", 0, 207, 10, 11, 228
"e:\ww\ccccppppppppppp\cpp\Queue.cpp", "C++", 0, 156, 0, 4, 160
"e:\ww\ccccppppppppppp\cpp\binary_search.cpp", "C++", 0, 497, 16, 20, 533
"e:\ww\ccccppppppppppp\cpp\binary_tree.cpp", "C++", 0, 756, 97, 44, 897
"e:\ww\ccccppppppppppp\cpp\c_strcopy.cpp", "C++", 0, 110, 4, 12, 126
"e:\ww\ccccppppppppppp\cpp\dbfs.cpp", "C++", 0, 683, 21, 17, 721
"e:\ww\ccccppppppppppp\cpp\dp.cpp", "C++", 0, 32, 0, 0, 32
"e:\ww\ccccppppppppppp\cpp\encapsulateTrie.cpp", "C++", 0, 216, 162, 20, 398
"e:\ww\ccccppppppppppp\cpp\fenwickTree.cpp", "C++", 0, 73, 0, 11, 84
"e:\ww\ccccppppppppppp\cpp\frontMiddleBackQueue.cpp", "C++", 0, 247, 13, 16, 276
"e:\ww\ccccppppppppppp\cpp\gcd.cpp", "C++", 0, 80, 9, 6, 95
"e:\ww\ccccppppppppppp\cpp\greedy.cpp", "C++", 0, 192, 11, 11, 214
"e:\ww\ccccppppppppppp\cpp\haash.cpp", "C++", 0, 395, 102, 23, 520
"e:\ww\ccccppppppppppp\cpp\heap-priqueue.cpp", "C++", 0, 193, 3, 7, 203
"e:\ww\ccccppppppppppp\cpp\hman.cpp", "C++", 0, 349, 17, 13, 379
"e:\ww\ccccppppppppppp\cpp\indequeue.cpp", "C++", 0, 430, 5, 17, 452
"e:\ww\ccccppppppppppp\cpp\inenstack.cpp", "C++", 0, 332, 3, 13, 348
