"filename", "language", "Java", "JSON", "C++", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\cpp\list.cpp", "C++", 0, 0, 43, 1, 1, 45
"e:\ww\ccccppppppppppp\cpp\quick_sort.cpp", "C++", 0, 0, 12, 1, 1, 14
"e:\ww\ccccppppppppppp\cpp\stringcomp.cpp", "C++", 0, 0, 41, 2, 0, 43
"e:\ww\ccccppppppppppp\javaaaaa\MeregeSort.java", "Java", 178, 0, 0, 1, 12, 191
"e:\ww\ccccppppppppppp\javaaaaa\arraylist_ex.java", "Java", 37, 0, 0, 0, 1, 38
"e:\ww\ccccppppppppppp\javaaaaa\binarySearch.java", "Java", 110, 0, 0, 2, 11, 123
"e:\ww\ccccppppppppppp\javaaaaa\kmp.java", "Java", 31, 0, 0, 1, 2, 34
"e:\ww\ccccppppppppppp\javaaaaa\quickSort.java", "Java", 268, 0, 0, 4, 32, 304
"e:\ww\ccccppppppppppp\javaaaaa\unionFind.java", "Java", -1, 0, 0, 0, 0, -1
"e:\ww\ccccppppppppppp\rust\mystack\.fleet\run.json", "JSON", 0, 4, 0, 0, 1, 5
"Total", "-", 623, 4, 96, 12, 61, 796
