"filename", "language", "Markdown", "Lua", "JavaScript", "Java", "Python", "C++", "comment", "blank", "total"
"e:\ww\ccccppppppppppp\Lua\m.lua", "Lua", 0, 11, 0, 0, 0, 0, 0, 2, 13
"e:\ww\ccccppppppppppp\cpp\dp.cpp", "C++", 0, 0, 0, 0, 0, 72, 18, 6, 96
"e:\ww\ccccppppppppppp\cpp\stack.cpp", "C++", 0, 0, 0, 0, 0, 26, 1, 0, 27
"e:\ww\ccccppppppppppp\cpp\tempCodeRunnerFile.cpp", "C++", 0, 0, 0, 0, 0, 1, 8, 1, 10
"e:\ww\ccccppppppppppp\javaaaaa\BDFS$Node.class", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 7
"e:\ww\ccccppppppppppp\javaaaaa\BDFS.class", "Java", 0, 0, 0, 13, 0, 0, 0, 0, 13
"e:\ww\ccccppppppppppp\javaaaaa\BDFS.java", "Java", 0, 0, 0, 307, 0, 0, 41, 38, 386
"e:\ww\ccccppppppppppp\javaaaaa\Bfs.class", "Java", 0, 0, 0, 21, 0, 0, 0, 0, 21
"e:\ww\ccccppppppppppp\javaaaaa\FrontMiddleBackQueue.java", "Java", 0, 0, 0, 111, 0, 0, 1, 5, 117
"e:\ww\ccccppppppppppp\javaaaaa\LowerCase.java", "Java", 0, 0, 0, 11, 0, 0, 0, 1, 12
"e:\ww\ccccppppppppppp\javaaaaa\MinStack.java", "Java", 0, 0, 0, 30, 0, 0, 12, 1, 43
"e:\ww\ccccppppppppppp\javaaaaa\Node1.class", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 6
"e:\ww\ccccppppppppppp\javaaaaa\StringOp.java", "Java", 0, 0, 0, 39, 0, 0, 16, 0, 55
"e:\ww\ccccppppppppppp\javaaaaa\binarySearch.java", "Java", 0, 0, 0, 147, 0, 0, 16, 4, 167
"e:\ww\ccccppppppppppp\javaaaaa\bitOpr.java", "Java", 0, 0, 0, 125, 0, 0, 14, 8, 147
"e:\ww\ccccppppppppppp\javaaaaa\bst.java", "Java", 0, 0, 0, 133, 0, 0, 14, 5, 152
"e:\ww\ccccppppppppppp\javaaaaa\heapi.java", "Java", 0, 0, 0, 53, 0, 0, 1, -1, 53
"e:\ww\ccccppppppppppp\javaaaaa\kmp.java", "Java", 0, 0, 0, 44, 0, 0, 0, 3, 47
"e:\ww\ccccppppppppppp\javaaaaa\list.java", "Java", 0, 0, 0, 184, 0, 0, 11, 2, 197
"e:\ww\ccccppppppppppp\javaaaaa\stackqueue.java", "Java", 0, 0, 0, 86, 0, 0, 6, -3, 89
"e:\ww\ccccppppppppppp\javascript\array.js", "JavaScript", 0, 0, 75, 0, 0, 0, 10, 4, 89
"e:\ww\ccccppppppppppp\phenomena.md", "Markdown", 179, 0, 0, 0, 0, 0, 0, 64, 243
"e:\ww\ccccppppppppppp\python\str.py", "Python", 0, 0, 0, 0, 45, 0, 9, 1, 55
"e:\ww\ccccppppppppppp\readlist.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 3, 6
"Total", "-", 182, 11, 75, 1317, 45, 99, 178, 144, 2051
